"player","statCategory","dkLine","probabilityOver","probabilityUnder","moreDraftableId","lessDraftableId","summaryMore","summaryLess","maxProb","etrLine","diff","percentageDiff","etrPoints","etrAssists","etrRebounds","etrThreePtMade","etrTurnovers","etrSteals","etrBlocks","etrMinutes","etrPosition","etrTeam","etrOpponent"
"Collin Sexton","Points + Assists + Rebounds",27.5,"0.390","0.610",50572404,50572405,"50572404: Collin Sexton / OVER 27.5 Points + Assists + Rebounds / 39.0%","50572405: Collin Sexton / UNDER 27.5 Points + Assists + Rebounds / 61.0%",0.6099,25.9,-1.6000000000000014,-0.05818181818181823,17.9,5.3,2.7,1.65,2.04,0.82,0.24,28,"SG/PG","UTA","MEM"
"Collin Sexton","Turnovers",2.5,"0.329","0.671",50573226,50573227,"50573226: Collin Sexton / OVER 2.5 Turnovers / 32.9%","50573227: Collin Sexton / UNDER 2.5 Turnovers / 67.1%",0.6709,2.04,-0.45999999999999996,-0.184,17.9,5.3,2.7,1.65,2.04,0.82,0.24,28,"SG/PG","UTA","MEM"
"Jalen Suggs","Points",13.5,"0.371","0.629",50563442,50563443,"50563442: Jalen Suggs / OVER 13.5 Points / 37.1%","50563443: Jalen Suggs / UNDER 13.5 Points / 62.9%",0.6287,12.2,-1.3000000000000007,-0.09629629629629635,12.2,3.2,3.6,1.9,2.04,1.52,0.79,29,"SG/PG","ORL","MIA"
"Jalen Suggs","Assists",3.5,"0.402","0.598",50563444,50563445,"50563444: Jalen Suggs / OVER 3.5 Assists / 40.2%","50563445: Jalen Suggs / UNDER 3.5 Assists / 59.8%",0.5976,3.2,-0.2999999999999998,-0.08571428571428566,12.2,3.2,3.6,1.9,2.04,1.52,0.79,29,"SG/PG","ORL","MIA"
"Jalen Suggs","Rebounds",3.5,"0.483","0.517",50563464,50563465,"50563464: Jalen Suggs / OVER 3.5 Rebounds / 48.3%","50563465: Jalen Suggs / UNDER 3.5 Rebounds / 51.7%",0.5172,3.6,0.10000000000000009,0.0285714285714286,12.2,3.2,3.6,1.9,2.04,1.52,0.79,29,"SG/PG","ORL","MIA"
"Jalen Suggs","Points + Rebounds",16.5,"0.419","0.581",50567778,50567779,"50567778: Jalen Suggs / OVER 16.5 Points + Rebounds / 41.9%","50567779: Jalen Suggs / UNDER 16.5 Points + Rebounds / 58.1%",0.5812,15.799999999999999,-0.7000000000000011,-0.04242424242424249,12.2,3.2,3.6,1.9,2.04,1.52,0.79,29,"SG/PG","ORL","MIA"
"Jalen Suggs","Points + Assists + Rebounds",19.5,"0.440","0.560",50572040,50572041,"50572040: Jalen Suggs / OVER 19.5 Points + Assists + Rebounds / 44.0%","50572041: Jalen Suggs / UNDER 19.5 Points + Assists + Rebounds / 56.0%",0.5599,19,-0.5,-0.02564102564102564,12.2,3.2,3.6,1.9,2.04,1.52,0.79,29,"SG/PG","ORL","MIA"
"Jalen Suggs","Points + Assists",16.5,"0.400","0.600",50567790,50567791,"50567790: Jalen Suggs / OVER 16.5 Points + Assists / 40.0%","50567791: Jalen Suggs / UNDER 16.5 Points + Assists / 60.0%",0.5998,15.399999999999999,-1.1000000000000014,-0.06666666666666675,12.2,3.2,3.6,1.9,2.04,1.52,0.79,29,"SG/PG","ORL","MIA"
"Jalen Suggs","Assists + Rebounds",6.5,"0.512","0.488",50573242,50573243,"50573242: Jalen Suggs / OVER 6.5 Assists + Rebounds / 51.2%","50573243: Jalen Suggs / UNDER 6.5 Assists + Rebounds / 48.8%",0.5119,6.800000000000001,0.3000000000000007,0.04615384615384626,12.2,3.2,3.6,1.9,2.04,1.52,0.79,29,"SG/PG","ORL","MIA"
"Ja Morant","Points",25.5,"0.445","0.555",50563424,50563425,"50563424: Ja Morant / OVER 25.5 Points / 44.5%","50563425: Ja Morant / UNDER 25.5 Points / 55.5%",0.5551,25,-0.5,-0.0196078431372549,25,8.1,5.2,1.64,2.93,1.09,0.35,33.5,"PG","MEM","UTA"
"Ja Morant","Rebounds",5.5,"0.413","0.587",50567620,50567621,"50567620: Ja Morant / OVER 5.5 Rebounds / 41.3%","50567621: Ja Morant / UNDER 5.5 Rebounds / 58.7%",0.5874,5.2,-0.2999999999999998,-0.054545454545454515,25,8.1,5.2,1.64,2.93,1.09,0.35,33.5,"PG","MEM","UTA"
"Ja Morant","Points + Assists",33.5,"0.456","0.544",50569406,50569407,"50569406: Ja Morant / OVER 33.5 Points + Assists / 45.6%","50569407: Ja Morant / UNDER 33.5 Points + Assists / 54.4%",0.544,33.1,-0.3999999999999986,-0.011940298507462643,25,8.1,5.2,1.64,2.93,1.09,0.35,33.5,"PG","MEM","UTA"
"Ja Morant","Points + Rebounds",31.5,"0.415","0.585",50569784,50569785,"50569784: Ja Morant / OVER 31.5 Points + Rebounds / 41.5%","50569785: Ja Morant / UNDER 31.5 Points + Rebounds / 58.5%",0.5849,30.2,-1.3000000000000007,-0.04126984126984129,25,8.1,5.2,1.64,2.93,1.09,0.35,33.5,"PG","MEM","UTA"
"Ja Morant","Assists + Rebounds",13.5,"0.452","0.548",50567684,50567685,"50567684: Ja Morant / OVER 13.5 Assists + Rebounds / 45.2%","50567685: Ja Morant / UNDER 13.5 Assists + Rebounds / 54.8%",0.5482,13.3,-0.1999999999999993,-0.014814814814814762,25,8.1,5.2,1.64,2.93,1.09,0.35,33.5,"PG","MEM","UTA"
"Ja Morant","Points + Assists + Rebounds",39.5,"0.425","0.575",50569798,50569799,"50569798: Ja Morant / OVER 39.5 Points + Assists + Rebounds / 42.5%","50569799: Ja Morant / UNDER 39.5 Points + Assists + Rebounds / 57.5%",0.5754,38.3,-1.2000000000000028,-0.03037974683544311,25,8.1,5.2,1.64,2.93,1.09,0.35,33.5,"PG","MEM","UTA"
"Wendell Carter Jr.","Points",10.5,"0.401","0.599",50563432,50563433,"50563432: Wendell Carter Jr. / OVER 10.5 Points / 40.1%","50563433: Wendell Carter Jr. / UNDER 10.5 Points / 59.9%",0.5993,9.8,-0.6999999999999993,-0.0666666666666666,9.8,1.8,7,1,1.23,0.52,0.56,25,"C","ORL","MIA"
"Wendell Carter Jr.","Rebounds",7.5,"0.404","0.596",50563466,50563467,"50563466: Wendell Carter Jr. / OVER 7.5 Rebounds / 40.4%","50563467: Wendell Carter Jr. / UNDER 7.5 Rebounds / 59.6%",0.5962,7,-0.5,-0.06666666666666667,9.8,1.8,7,1,1.23,0.52,0.56,25,"C","ORL","MIA"
"Wendell Carter Jr.","Points + Assists",12.5,"0.393","0.607",50567748,50567749,"50567748: Wendell Carter Jr. / OVER 12.5 Points + Assists / 39.3%","50567749: Wendell Carter Jr. / UNDER 12.5 Points + Assists / 60.7%",0.6073,11.600000000000001,-0.8999999999999986,-0.07199999999999988,9.8,1.8,7,1,1.23,0.52,0.56,25,"C","ORL","MIA"
"Wendell Carter Jr.","Points + Rebounds",17.5,"0.417","0.583",50572058,50572059,"50572058: Wendell Carter Jr. / OVER 17.5 Points + Rebounds / 41.7%","50572059: Wendell Carter Jr. / UNDER 17.5 Points + Rebounds / 58.3%",0.583,16.8,-0.6999999999999993,-0.03999999999999996,9.8,1.8,7,1,1.23,0.52,0.56,25,"C","ORL","MIA"
"Wendell Carter Jr.","Points + Assists + Rebounds",19.5,"0.409","0.591",50572042,50572043,"50572042: Wendell Carter Jr. / OVER 19.5 Points + Assists + Rebounds / 40.9%","50572043: Wendell Carter Jr. / UNDER 19.5 Points + Assists + Rebounds / 59.1%",0.5906,18.6,-0.8999999999999986,-0.04615384615384608,9.8,1.8,7,1,1.23,0.52,0.56,25,"C","ORL","MIA"
"Wendell Carter Jr.","Assists + Rebounds",9.5,"0.388","0.612",50567808,50567809,"50567808: Wendell Carter Jr. / OVER 9.5 Assists + Rebounds / 38.8%","50567809: Wendell Carter Jr. / UNDER 9.5 Assists + Rebounds / 61.2%",0.6116,8.8,-0.6999999999999993,-0.07368421052631571,9.8,1.8,7,1,1.23,0.52,0.56,25,"C","ORL","MIA"
"Miles Bridges","Points",18.5,"0.446","0.554",50570932,50570933,"50570932: Miles Bridges / OVER 18.5 Points / 44.6%","50570933: Miles Bridges / UNDER 18.5 Points / 55.4%",0.554,18,-0.5,-0.02702702702702703,18,3.4,6.9,1.97,1.75,0.9,0.52,34,"PF/SF","CHA","HOU"
"Miles Bridges","Rebounds",6.5,"0.508","0.492",50563384,50563385,"50563384: Miles Bridges / OVER 6.5 Rebounds / 50.8%","50563385: Miles Bridges / UNDER 6.5 Rebounds / 49.3%",0.5075000000000001,6.9,0.40000000000000036,0.06153846153846159,18,3.4,6.9,1.97,1.75,0.9,0.52,34,"PF/SF","CHA","HOU"
"Miles Bridges","Points + Assists",21.5,"0.467","0.533",50570940,50570941,"50570940: Miles Bridges / OVER 21.5 Points + Assists / 46.7%","50570941: Miles Bridges / UNDER 21.5 Points + Assists / 53.3%",0.5329,21.4,-0.10000000000000142,-0.00465116279069774,18,3.4,6.9,1.97,1.75,0.9,0.52,34,"PF/SF","CHA","HOU"
"Miles Bridges","Points + Assists + Rebounds",27.5,"0.512","0.488",50570964,50570965,"50570964: Miles Bridges / OVER 27.5 Points + Assists + Rebounds / 51.2%","50570965: Miles Bridges / UNDER 27.5 Points + Assists + Rebounds / 48.8%",0.5116,28.299999999999997,0.7999999999999972,0.029090909090908987,18,3.4,6.9,1.97,1.75,0.9,0.52,34,"PF/SF","CHA","HOU"
"Miles Bridges","Points + Rebounds",24.5,"0.494","0.506",50570942,50570943,"50570942: Miles Bridges / OVER 24.5 Points + Rebounds / 49.4%","50570943: Miles Bridges / UNDER 24.5 Points + Rebounds / 50.6%",0.5063,24.9,0.3999999999999986,0.01632653061224484,18,3.4,6.9,1.97,1.75,0.9,0.52,34,"PF/SF","CHA","HOU"
"Miles Bridges","Assists + Rebounds",9.5,"0.551","0.449",50567548,50567549,"50567548: Miles Bridges / OVER 9.5 Assists + Rebounds / 55.1%","50567549: Miles Bridges / UNDER 9.5 Assists + Rebounds / 44.9%",0.5513,10.3,0.8000000000000007,0.08421052631578956,18,3.4,6.9,1.97,1.75,0.9,0.52,34,"PF/SF","CHA","HOU"
